entity,code,year,life_expectancy__sex_total__age_0__type_period
Mexico,MEX,1990,69.0342
Mexico,MEX,1991,69.3683
Mexico,MEX,1992,69.6633
Mexico,MEX,1993,69.9607
Mexico,MEX,1994,70.3017
Mexico,MEX,1995,70.703
Mexico,MEX,1996,71.0876
Mexico,MEX,1997,71.4723
Mexico,MEX,1998,71.7924
Mexico,MEX,1999,72.2034
Mexico,MEX,2000,72.5621
Mexico,MEX,2001,72.9118
Mexico,MEX,2002,73.1056
Mexico,MEX,2003,73.308
Mexico,MEX,2004,73.4324
Mexico,MEX,2005,73.6267
Mexico,MEX,2006,73.7457
Mexico,MEX,2007,73.7955
Mexico,MEX,2008,73.6949
Mexico,MEX,2009,73.6281
Mexico,MEX,2010,73.7181
Mexico,MEX,2011,73.9209
Mexico,MEX,2012,74.1278
Mexico,MEX,2013,74.289
Mexico,MEX,2014,74.4044
Mexico,MEX,2015,74.4315
Mexico,MEX,2016,74.3763
Mexico,MEX,2017,74.2609
Mexico,MEX,2018,74.3009
Mexico,MEX,2019,74.5302
Mexico,MEX,2020,70.4492
Mexico,MEX,2021,69.7499
Mexico,MEX,2022,73.9731
Mexico,MEX,2023,75.069
